,1980,1985,1990,1995,2000,2008,2009,2010,2011,2012,2013,2014,2015,2018
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
Chile,2.2,1.8,2.5,2.9,3.9,4.3,4.0,4.3,4.6,4.7,4.8,4.7,4.8,5.0
China,1.5,1.9,2.2,2.8,2.7,5.7,6.0,6.6,7.2,7.4,7.6,7.5,7.7,8.0
Colombia,1.6,1.6,1.7,1.6,1.4,1.5,1.6,1.7,1.6,1.7,1.9,1.8,1.6,1.8
Comoros,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Democratic Republic of the Congo,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0
Republic of the Congo,0.2,0.6,0.5,0.6,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,1.2,1.3
Cook Islands,..,..,2.3,..,..,..,..,..,..,..,..,..,2.3,2.4
Costa Rica,1.0,0.8,1.0,1.4,1.4,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.8
Ivory Coast,0.8,0.7,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6
Croatia,..,..,..,3.6,4.4,5.1,4.8,4.6,4.6,4.2,4.1,4.0,4.4,4.7
Cuba,3.2,3.2,3.2,2.4,2.3,2.7,2.6,3.4,3.2,3.2,3.0,3.0,2.7,2.4
Curaçao,..,..,..,..,..,..,..,..,..,39.4,33.9,37.7,46.7,52.1
Cyprus,4.7,4.4,5.7,6.3,7.3,7.9,7.4,6.9,6.6,6.1,5.2,5.3,5.5,6.3
Czech Republic,..,..,..,12.0,12.1,11.2,10.3,10.7,10.2,9.6,9.4,9.2,10.1,10.4
Denmark,11.8,11.7,9.8,10.9,9.6,8.5,8.1,8.4,7.3,6.5,6.9,5.9,6.0,5.8
Djibouti,1.0,0.8,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.7,0.8,1.0,1.1
Dominica,0.5,0.6,0.8,1.1,1.5,1.9,1.9,2.0,1.8,1.9,1.8,1.9,1.7,1.7
Dominican Republic,1.1,1.1,1.3,2.0,2.3,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.3
Ecuador,1.7,2.1,1.6,2.0,1.6,2.3,2.5,2.4,2.5,2.5,2.6,2.8,2.7,2.6
Egypt,1.0,1.3,1.3,1.5,2.0,2.5,2.5,2.4,2.5,2.5,2.4,2.2,2.5,2.5
El Salvador,0.5,0.4,0.5,0.9,1.0,1.1,1.0,1.0,1.1,1.1,1.0,1.0,1.2,1.2
Equatorial Guinea,0.2,0.2,0.2,0.3,0.7,5.2,5.1,4.9,6.2,4.9,4.8,4.7,3.0,2.5
Eritrea,..,..,..,0.3,0.2,0.1,0.1,0.1,0.1,..,..,..,0.1,0.2
Estonia,..,..,..,12.2,10.6,13.1,10.9,13.6,14.0,13.3,15.1,14.8,15.1,18.6
Eswatini,0.8,0.6,0.5,0.5,1.1,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9
Ethiopia,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Falkland Islands,..,..,6.5,..,..,..,..,..,..,..,..,..,13.0,13.6
Faroe Islands,..,..,0.0,..,..,..,..,..,..,..,..,..,0.0,0.0
Fiji,1.3,0.8,1.1,1.0,1.0,1.1,0.9,1.4,1.3,1.2,1.3,1.3,1.4,1.4
Finland,12.2,10.1,10.4,10.3,10.1,10.6,10.0,11.6,10.5,9.1,8.7,8.7,8.4,8.8
France,9.1,7.1,6.4,5.9,5.9,5.7,5.4,5.4,5.1,5.1,5.1,4.6,5.0,5.0
French Guiana,..,..,3.2,..,..,..,..,..,..,..,..,..,2.7,2.6
French Polynesia,1.9,3.3,2.2,2.0,2.4,3.2,3.2,3.2,3.1,3.0,3.0,2.9,1.9,2.0
Gabon,9.1,7.6,4.7,4.3,3.8,2.7,2.7,2.9,2.9,2.9,2.9,2.8,3.4,3.2
Gambia,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3
Georgia,..,..,..,0.5,1.0,1.3,1.6,1.6,2.1,2.2,2.1,2.4,2.6,2.8
Germany,..,..,..,10.6,10.1,9.5,8.8,9.3,9.1,9.2,9.4,8.9,9.6,9.1
Ghana,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.6,0.5,0.6,0.7
Gibraltar,2.9,1.5,4.9,9.1,10.7,13.0,14.0,14.0,13.5,13.7,14.5,15.5,16.8,19.6
Greece,5.3,6.1,7.3,7.5,8.5,8.7,8.3,7.5,7.2,7.2,6.3,6.2,6.3,6.5
Greenland,11.2,9.6,10.0,9.0,9.5,11.7,10.2,11.7,12.4,10.0,9.8,9.0,9.2,9.4
Grenada,0.5,0.6,1.1,1.5,1.9,2.4,2.4,2.5,2.4,2.6,2.9,2.3,2.6,2.7
Guadeloupe,..,..,2.3,..,..,..,..,..,..,..,..,..,5.0,5.2
Guam,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Guatemala,0.6,0.4,0.5,0.7,0.9,0.8,0.8,0.8,0.8,0.8,0.9,1.2,1.0,1.2
Guinea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2
Guinea-Bissau,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Guyana,2.3,1.8,1.5,1.9,2.1,2.1,2.1,2.3,2.4,2.6,2.6,2.6,2.2,2.5
Haiti,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Honduras,0.6,0.4,0.5,0.7,0.8,1.1,1.0,1.0,1.1,1.1,1.0,1.1,1.1,1.1
Hong Kong,3.3,4.2,4.8,5.1,6.1,6.3,6.0,5.8,6.2,6.1,6.3,6.4,6.2,6.1
Hungary,8.1,8.1,6.7,5.8,5.5,5.5,4.8,5.0,4.8,4.5,4.3,4.3,4.8,5.4
Iceland,8.2,6.7,7.8,7.3,7.7,6.7,6.4,6.2,5.9,5.6,5.9,6.1,11.6,12.1
India,0.5,0.5,0.7,0.8,1.0,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.9
Indonesia,0.6,0.7,0.8,1.1,1.2,1.8,1.9,1.8,2.5,2.6,1.9,1.8,1.9,2.1
Iran,3.1,3.4,3.7,4.5,5.6,7.4,7.5,7.7,7.8,8.0,8.0,8.3,7.8,8.9
Iraq,3.3,2.9,2.7,3.7,3.1,3.2,3.5,3.6,4.2,4.7,4.9,4.8,4.4,4.8
Ireland,7.7,7.6,8.9,9.1,10.8,9.6,8.9,8.8,7.8,7.7,7.5,7.3,8.1,7.7
Isle of Man,..,..,..,..,..,..,8.0,8.2,8.2,8.2,8.2,..,..,..
